hs_code,description,duty_rate,vat_rate,all_in_rate
7612900000,"- Réservoirs, futs, tambours, bidons, boites et ouvrages similaires en aluminium du N[76-12.",20.0,18.0,44.28
0101210000,"-- Chevaux vivants, reproducteurs de race pure",5.0,18.0,7.5
0101290000,"-- Chevaux vivants, autres que reproducteurs de race pure",10.0,18.0,22.5
0101301000,-- Anes vivants reproducteurs de race pure,5.0,18.0,7.5
0101309000,"-- Anes vivants, autres que reproducteurs de race pure",10.0,18.0,22.5
0101900000,- Mulets et bardots vivants,10.0,18.0,22.5
0102210000,-- Bovins vivants domestiques reproducteurs de race pure,5.0,18.0,7.5
0102290000,"-- Bovins vivants domestiques, autres que reproducteurs de race pure",10.0,18.0,22.5
0102310000,-- Buffles vivants reproducteurs de race pure,5.0,18.0,7.5
0102390000,"-- Buffles vivants, autres que reproducteurs de race pure",10.0,18.0,22.5
0102900000,"- Autres animaux vivants de l'espèce bovine autres que les bovins domestiques, les buffles",10.0,18.0,22.5
0103100000,"- Animaux vivants de l'espèce porcine, reproducteurs de race pure",5.0,18.0,7.5
0103910000,"-- Animaux vivants de l'espèce porcine, autres que reproducteurs de race pure, d'un poids inférieur à 50 kg",10.0,18.0,22.5
0103920000,"-- Animaux vivants de l'espèce porcine, autres que reproducteurs de race pure, d'un poids égal ou supérieur à 50 kg",10.0,18.0,22.5
0104101000,"-- Animaux vivants de l'espèce ovine, reproducteurs de race pure",5.0,18.0,7.5
0104109000,"-- Animaux vivants de l'espèce ovine, autres que reproducteurs de race pure",10.0,18.0,22.5
0104201000,"-- Animaux vivants de l'espèce caprine, reproducteurs de race pure",5.0,18.0,22.5
0104209000,"-- Animaux vivants de l'espèce caprine, autres que reproducteurs de race pure",10.0,18.0,22.5
0105111000,"--- Coqs et poules vivants domestiques, reproducteurs de race pure, d'un poids n'excédant pas 185 g",5.0,18.0,7.5
0105119000,"--- Coqs et poules vivants domestiques, autres que reproducteurs de race pure, d'un poids n'excédant pas 185 g",10.0,18.0,12.5
0105120000,"-- Dindes et dindons vivants domestiques, d'un poids n'excédant pas 185 g",5.0,18.0,7.5
0105130000,"-- Canards vivants domestiques, d'un poids n'excédant pas 185 g",5.0,18.0,7.5
0105140000,"-- Oies  domestiques vivantes, d'un poids n'excédant pas 185 g",5.0,18.0,7.5
0105150000,"-- Pintades  domestiques vivantes, d'un poids n'excédant pas 185 g",5.0,18.0,7.5
0105940000,"-- Coqs et poules  vivants domestiques, d'un poids excédant 185 g",10.0,18.0,22.5
0302190000,"-- Salmonidés, frais ou réfrigérés, autres que truites, saumons du Pac., de l'Atlant. et du Dan., sauf les abats des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302210000,"-- Flétans (Reinhardtius hippoglossoides, ... Hippoglossus stenolepis), frais ou réfrigérés, sauf abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302220000,"-- Plies ou carrelets (Pleuronectes platessa), frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302230000,"-- Soles (Solea spp.), frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302240000,"-- Turbots (Psetta maxima,), frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302290000,"-- Poissons plats, frais ou réfrigérés, autres que flétans, plies ou carrelets, soles et turbots, sauf les abats des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302310000,"-- Thons blancs ou germons (Thunnus alalunga), frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302320000,"-- Thons à nageoires jaunes (Thunnus albacares),  frais ou réfrigérés, sauf les abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302330000,"-- Listaos ou bonites à ventre rayé,  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302340000,"-- Thons obèses (Thunnus obesus),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302350000,"-- Thons rouges de l'Atlantique et du Pacifique (Thunnus … orientalis),  frais ou réfrigérés, sauf les abats des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302360000,"-- Thons rouges du sud (Thunnus maccoyii),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302390000,"-- Autres thons (du genre thunnus), frais ou réfrigérés, à l'exclusion des abats des N° 0302.91 à 0302.99, non dénommés ni compris ailleurs",10.0,18.0,12.5
0302410000,"-- Harengs (Clupea harengus, Clupea pallasii), frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302420000,"-- Anchois (Engraulis spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302430000,"-- Sardines (...), sardinelles (...), sprats ou esprots (...),  frais ou réfrigérés, sauf les abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302440000,"-- Maquereaux (Scomber scombrus, australasicus ou japonicus),  frais ou réfrigérés, sauf les abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302450000,"-- Chinchards (Trachurus spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0106110000,-- Primates vivants,10.0,18.0,22.5
0106120000,"-- Baleines, dauphins et marsouins (...); lamantins et dugongs (...); otaries et phoques, lions de mer et morses (...) vivants",10.0,18.0,22.5
0106130000,-- Chameaux et autres camélidés (Camelidés) vivants,10.0,18.0,22.5
0106140000,-- Lapins et lièvres vivants,10.0,18.0,22.5
0106190000,-- Autres mammifères vivants,10.0,18.0,22.5
0106200000,- Reptiles (y compris les serpents et les tortues de mer) vivants,10.0,18.0,22.5
0106310000,-- Oiseaux de proie vivants,10.0,18.0,22.5
0106320000,"-- Psittaciformes (y compris les perroquets, perruches, aras et cacatoès) vivants",10.0,18.0,22.5
0106330000,-- Autruches; émeus (Dromaius novaehollandiae) vivants,10.0,18.0,22.5
0106390000,-- Autres oiseaux vivants,10.0,18.0,22.5
0106410000,-- Abeilles vivantes,5.0,18.0,22.5
0106490000,"-- Insectes vivants, autres que les abeilles",10.0,18.0,22.5
0106900000,"- Animaux vivants, autres que les mammifères, reptiles, oiseaux et insectes",10.0,18.0,22.5
0201100000,"- Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, en carcasses ou demi-carcasses",35.0,18.0,22.5
0201200000,"- Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, autres qu'en carcasses ou demi-carcasses, non désossées",35.0,18.0,22.5
0201300000,"- Viandes des animaux de l'espèce bovine, fraîches ou réfrigérées, désossées",35.0,18.0,22.5
0202100000,"- Viandes des animaux de l'espèce bovine, congelées, en carcasses ou demi-carcasses",35.0,18.0,22.5
0202200000,"- Viandes des animaux de l'espèce bovine, congelées, autres qu'en carcasses ou demi-carcasses, non désossées",35.0,18.0,
0202300000,"- Viandes des animaux de l'espèce bovine, congelées, désossées",35.0,18.0,
0203110000,"-- Viandes des animaux de l'espèce porcine, fraîches ou réfrigérées, en carcasses ou demi-carcasses",35.0,18.0,
0203120000,"-- Jambons, épaules et leurs morceaux, des animaux de l'espèce porcine, frais ou réfrigérés, non désossés",35.0,18.0,
0105990000,"-- Canards, oies, dindons, dindes et pintades  vivants domestiques, d'un poids excédant 185 g",10.0,18.0,22.5
0207140000,"-- Morceaux et abats  comestibles, de coqs et de poules, congelés",35.0,18.0,
0207240000,"-- Viandes de dindes et dindons, non découpées en morceaux, fraîches ou réfrigérées",35.0,18.0,
0207250000,"-- Viandes de dindes et dindons, non découpées en morceaux, congelées",35.0,18.0,
0207260000,"-- Morceaux et abats comestibles, de dindes et dindons, frais ou réfrigérés",35.0,18.0,
0207270000,"-- Morceaux et abats comestibles, de dindes et dindons, congelés",35.0,18.0,
0207410000,"-- Viandes de canards, non découpées en morceaux, fraîches ou réfrigérées",35.0,18.0,
0207420000,"-- Viandes de canards, non découpées en morceaux, congelées",35.0,18.0,
0207430000,"-- Foies gras comestibles de canards, frais ou réfrigérés",35.0,18.0,
0207440000,"-- Morceaux, abats comestibles autres que les foies gras de canards, frais ou réfrigérés",35.0,18.0,
0207450000,"-- Morceaux, abats comestibles autres que les foies gras de canards, congelés",35.0,18.0,
0207510000,"-- Viandes d'oies, non découpées en morceaux, fraîches ou réfrigérées",35.0,18.0,
0207520000,"-- Viandes d'oies, non découpées en morceaux, congelées",35.0,18.0,
0207530000,"-- Foies gras comestibles, d'oies, frais ou réfrigérés",35.0,18.0,
0207540000,"-- Morceaux, abats comestibles, autres que les foies gras d'oies, frais ou réfrigérés",35.0,18.0,
0207550000,"-- Morceaux, abats comestibles, autres que les foies gras d'oies, congelés",35.0,18.0,
0207600000,"- Viandes et abats comestibles de pintades, frais, réfrigérés ou congelés",35.0,18.0,
0208100000,"- Viandes et abats comestibles de lapins ou de lièvres, frais, réfrigérés ou congelés",20.0,18.0,22.5
0208300000,"- Viandes et abats comestibles de primates, frais, réfrigérés ou congelés",20.0,18.0,22.5
0208400000,"- Viande et abat comestible de baleine, dauphin, marsouin, lamantin, dugong, d?otarie, phoque, lion de mer et morse, frais, réfrig. ou cong.",20.0,18.0,22.5
0208500000,"- Viandes et abats comestibles de reptiles (y compris les serpents et les tortues de mer), frais, réfrigérés ou congelés",20.0,18.0,22.5
0208600000,"- Viandes et abats comestibles de chameaux et d'autres camélidés (Camelidés), frais, réfrigérés ou congelés",20.0,18.0,22.5
0208900000,"- Autres viandes et abats comestibles, frais, réfrigérés ou congelés non dénommés ni compris ailleurs",20.0,18.0,22.5
0209100000,"- Lard sans partie maigre et graisse non fondue ni autrement extraite, de porc, frais, réfrigéré, congelé, salé ou en saumure, séché ou fumé",20.0,18.0,22.5
0302460000,"-- Mafous (Rachycentron canadum),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302470000,"-- Espadons (Xiphias gladius),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302490000,"-- Autres poissons frais ou réfrigérés du N° 0302.4, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302510000,"-- Morues (Gadus morhua, Gadus ogac, Gadus macrocephalus),  frais ou réfrigérés, sauf les abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302520000,"-- Eglefins (Melanogrammus aeglefinus),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302530000,"-- Lieus noirs (Pollachius virens),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302540000,"-- Merlus (Merluccius spp., Urophycis spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302550000,"-- Lieus d?'Alaska (Theragra chalcogramma),  frais ou réfrigérés, à l'exclusion des abats de poissons comestibles des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302560000,"-- Merlans bleus (Micromesistius poutassou ou australis),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302590000,"-- Autres poissons des familles Bregmacerotidae …,  frais ou réfrigérés, non dénommés ailleurs,  sauf les abats des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302710000,"-- Tilapias (Oreochromis spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302720000,"-- Siluridés (Pangasius spp., Silurus spp.,  Ictalurus spp.),  frais ou réfrigérés, sauf  les abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302730000,"-- Carpes (Cyprinus carpio ... Mylopharyngodon piceus),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302740000,"-- Anguilles (Anguilla spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302790000,"-- Perches du Nil (Lates nilot.) et poissons tête de serpent (channa spp.),  frais ou réfrigérés, sauf les abats des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302810000,"-- Squales,  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302820000,"-- Raies (Rajidae),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
0302830000,"-- Légines (Dissostichus spp.),  frais ou réfrigérés, à l'exclusion des abats de poissons des N° 0302.91 à 0302.99",10.0,18.0,12.5
